playerKey,playerId,name,position,projMikeClayBasePts,projFantasyProsBasePts,projSleeperBasePts,tradyrIsRookie,lastSeasonSfb,pre_bonus_proj_pts,pos_rank_prebonus,tier_bonus,proj_pts,weekly_pts,VOLS,VORP,VBD,vbd_rank,adp,value_vs_adp,tier,pos_tier
fernando-mendoza,13269,Fernando Mendoza,QB,240.72,242.6,267.16,TRUE,0,248.035,30,89,337.03499999999997,19.825588235294116,-34.21456249999994,211.84599999999998,177.63143750000003,98,106.78,8.780000000000001,28,9
bucky-irving,11584,Bucky Irving,RB,205,210.51,183.3,FALSE,212.5,201.64125,20,72.5,264.8950625,15.5820625,37.903625000000005,139.7060625,177.6096875,99,57.61,-41.39,28,5
quinshon-judkins,12512,Quinshon Judkins,RB,210,200.11,169.8,FALSE,231.8,196.24125,21,72.5,263.2000625,15.482356617647058,36.20862500000001,138.0110625,174.21968750000002,100,74.06,-25.939999999999998,28,5
michael-wilson,10232,Michael Wilson,WR,132.9,140.68,139.9,FALSE,373.6,137.5675,49,104.33,261.652875,15.391345588235295,34.661437500000005,136.463875,171.1253125,101,94.58,-6.420000000000002,28,9
wan-dale-robinson,8126,Wan'Dale Robinson,WR,135.4,148.03,127,FALSE,359.9,138.03625,48,104.33,259.9963125,15.293900735294116,33.004875,134.8073125,167.8121875,102,116.54,14.540000000000006,28,9
treveyon-henderson,12529,TreVeyon Henderson,RB,190.9,184.59,164,FALSE,271.7,181.80875,23,72.5,256.9174375,15.112790441176472,29.926000000000016,131.7284375,161.65443750000003,103,62.7,-40.3,29,5
hunter-henry,3214,Hunter Henry,TE,176.8,0,174.9,FALSE,381.3,176.04000000000002,19,58,256.129,15.066411764705883,29.13756250000003,130.94000000000003,160.07756250000006,104,113.63,9.629999999999995,29,4
dalton-kincaid,10236,Dalton Kincaid,TE,182.3,0,188.6,FALSE,328.6,184.82000000000002,15,58,255.687,15.040411764705883,28.695562500000023,130.49800000000002,159.19356250000004,105,93.62,-11.379999999999995,29,4
juwan-johnson,7002,Juwan Johnson,TE,176.2,0,163.6,FALSE,389.4,171.15999999999997,20,58,253.19599999999997,14.893882352941175,26.20456249999998,128.00699999999998,154.21156249999996,106,129.34,23.340000000000003,29,4
quentin-johnston,9754,Quentin Johnston,WR,140.9,144.42,134.9,FALSE,297.2,140.72,42,104.33,252.8725,14.87485294117647,25.881062500000013,127.68350000000001,153.56456250000002,107,112.88,5.8799999999999955,29,10
jordyn-tyson,13281,Jordyn Tyson,WR,155.2,143.38,145.6,TRUE,0,148.3675,37,104.33,252.6975,14.86455882352941,25.7060625,127.5085,153.2145625,108,86.03,-21.97,29,10
michael-pittman,6819,Michael Pittman,WR,154,151.72,133.5,FALSE,242.4,148.01999999999998,38,104.33,250.85749999999996,14.756323529411763,23.86606249999997,125.66849999999997,149.53456249999994,109,120.78,11.780000000000001,30,10
jakobi-meyers,5947,Jakobi Meyers,WR,144.8,0,137.3,FALSE,260.8,141.8,41,104.33,248.3305,14.607676470588235,21.33906250000001,123.14150000000001,144.48056250000002,110,103.49,-6.510000000000005,31,11
romeo-doubs,8121,Romeo Doubs,WR,142.3,135.83,138.7,FALSE,275.4,138.97375,45,104.33,248.11818749999998,14.595187499999998,21.126749999999987,122.92918749999998,144.05593749999997,111,133.2,22.19999999999999,31,11
makai-lemon,13294,Makai Lemon,WR,149.3,140.18,138.5,TRUE,0,143.18,39,104.33,247.51,14.559411764705882,20.5185625,122.321,142.8395625,112,97.68,-14.319999999999993,31,11
mark-andrews,5012,Mark Andrews,TE,200.3,0,184.8,FALSE,216.5,194.10000000000002,13,58,246.76000000000002,14.51529411764706,19.76856250000003,121.57100000000003,141.33956250000006,113,104.82,-8.180000000000007,31,5
david-montgomery,5892,David Montgomery,RB,179.6,178.35,182.4,FALSE,210.92,179.83124999999998,24,72.5,246.11956249999997,14.47762132352941,19.128124999999983,120.93056249999998,140.05868749999996,114,77.89,-36.11,31,5
jordan-addison,9756,Jordan Addison,WR,138.4,140.49,134.1,FALSE,266.1,138.10875000000001,47,104.33,245.98793750000002,14.46987867647059,18.996500000000026,120.79893750000002,139.79543750000005,115,114.2,-0.7999999999999972,31,11
brenton-strange,9480,Brenton Strange,TE,172.3,0,184.8,FALSE,268.5,177.3,18,58,240.28,14.134117647058824,13.288562500000012,115.09100000000001,128.37956250000002,116,127.25,11.25,32,5
xavier-worthy,11624,Xavier Worthy,WR,149.9,140.26,136,FALSE,201.4,142.81,40,104.33,240.279,14.134058823529411,13.287562500000007,115.09,128.3775625,117,125.21,8.209999999999994,32,12
kenyon-sadiq,13330,Kenyon Sadiq,TE,193.7,0,164.4,TRUE,0,181.98,17,58,239.98,14.116470588235293,12.9885625,114.791,127.7795625,118,125.1,7.099999999999994,32,5
khalil-shakir,8134,Khalil Shakir,WR,136.7,138.26,132,FALSE,224.4,136.10999999999999,51,104.33,238.034,14.001999999999999,11.042562500000003,112.845,123.8875625,119,143.81,24.810000000000002,33,12
dalton-schultz,5001,Dalton Schultz,TE,162.1,0,161,FALSE,322.7,161.66,22,58,235.11599999999999,13.83035294117647,8.124562499999996,109.92699999999999,118.05156249999999,120,128.55,8.550000000000011,34,5
tj-hockenson,5844,T.J. Hockenson,TE,198.9,0,160,FALSE,196.8,183.34,16,58,234.65900000000002,13.803470588235296,7.667562500000031,109.47000000000003,117.13756250000006,121,142.67,21.669999999999987,34,5
ricky-pearsall,11638,Ricky Pearsall,WR,136.8,135.72,139.7,FALSE,194.6,137.12,50,104.33,234.42249999999999,13.789558823529411,7.431062499999996,109.23349999999999,116.66456249999999,122,108.57,-13.430000000000007,34,12
oronde-gadsden,12493,Oronde Gadsden,TE,140,0,179.1,FALSE,315.4,155.64,23,58,228.904,13.464941176470589,1.912562500000007,103.715,105.62756250000001,123,100.12,-22.879999999999995,35,5
kc-concepcion,13298,KC Concepcion,WR,129.2,120.07,124.2,TRUE,0,124.52624999999999,54,104.33,228.85625,13.462132352941175,1.8648124999999993,103.66725,105.5320625,124,136.39,12.389999999999986,35,13
matthew-golden,12501,Matthew Golden,WR,153.4,129.14,132.3,FALSE,145,139.0275,44,104.33,228.60387500000002,13.447286764705883,1.612437500000027,103.41487500000002,105.02731250000005,125,145.98,20.97999999999999,35,13
